2026-09-24T13:19:26Z INFO Logging to /tmp/logs/update_2026-09-24T13-19-26Z.log.
2026-09-24T13:19:26Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-24T13:19:26Z INFO Processing 500 items (53984 already recorded).
2026-09-24T13:21:16Z INFO [76/500] 109689e9-7b9c-411f-b645-a04908809b15: cophenetic index 54545; 2.7 s; peak memory 114 MiB.
2026-09-24T13:21:17Z INFO [77/500] 10970300-be6a-4aa5-9fcf-d5c482ce2f5f: cophenetic index 624; 0.7 s; peak memory 114 MiB.
2026-09-24T13:21:19Z INFO [78/500] 109723ec-28b6-42f0-a913-20e1dc1cce56: cophenetic index 13983; 2.4 s; peak memory 114 MiB.
2026-09-24T13:21:20Z INFO [79/500] 109786b5-3e84-41ed-99a8-afc7dd23ddb1: cophenetic index 624; 0.6 s; peak memory 114 MiB.
2026-09-24T13:21:20Z INFO [80/500] 109837e5-0670-42e0-a544-cee5db2ad581: cophenetic index 1522; 0.8 s; peak memory 114 MiB.
2026-09-24T13:21:21Z INFO [81/500] 109882b1-0a3b-406e-b351-f450aa916eec: cophenetic index 3004; 0.8 s; peak memory 114 MiB.
2026-09-24T13:21:22Z INFO [82/500] 10996919-9440-46c6-b4fd-b3e689ae1aae: cophenetic index 1042; 0.7 s; peak memory 114 MiB.
2026-09-24T13:21:23Z INFO [83/500] 1099b4c6-2859-4eb5-a99e-a5c18a248ce9: cophenetic index 3004; 0.8 s; peak memory 114 MiB.
2026-09-24T13:21:24Z INFO [84/500] 109ae38b-469d-45d0-b8ae-be81834e5ae2: cophenetic index 23809; 1.5 s; peak memory 114 MiB.
2026-09-24T13:22:00Z INFO [85/500] 109b1715-f211-4e37-b21b-fe6b4f4dd1a5: cophenetic index 53626826; 36.0 s; peak memory 287 MiB.
2026-09-24T13:22:03Z INFO [86/500] 109b55a9-93a8-4d81-8090-f915f5671f68: cophenetic index 7916; 2.3 s; peak memory 287 MiB.
2026-09-24T13:22:03Z INFO [87/500] 109bae78-5993-419f-a7fa-3d5ac8b5f7fd: cophenetic index 5317; 0.9 s; peak memory 287 MiB.
2026-09-24T13:22:04Z INFO [88/500] 109c8284-d098-4032-aad8-797822ed7ff5: cophenetic index 490; 0.4 s; peak memory 287 MiB.
2026-09-24T13:22:05Z INFO [89/500] 109d276b-9792-414c-8e79-5ce57275f4dc: cophenetic index 26986; 1.0 s; peak memory 287 MiB.
2026-09-24T13:22:06Z INFO [90/500] 109d4b5f-e5f0-439f-a667-0ca67cc1b8f8: cophenetic index 1380; 1.0 s; peak memory 287 MiB.
2026-09-24T13:22:06Z INFO [91/500] 109d7e76-96db-4b66-ac4f-4bf987ff8357: cophenetic index 490; 0.6 s; peak memory 287 MiB.
2026-09-24T13:22:07Z INFO [92/500] 109db6a7-500b-4e59-83ca-8422c27137cf: cophenetic index 647; 0.6 s; peak memory 287 MiB.
2026-09-24T13:22:10Z INFO [93/500] 109e4334-020e-49a0-b260-22272359c9d2: cophenetic index 9298; 3.2 s; peak memory 287 MiB.
2026-09-24T13:22:11Z INFO [94/500] 109ecae3-f48e-4c04-b737-e685344b07cc: cophenetic index 3087; 0.8 s; peak memory 287 MiB.
2026-09-24T13:22:22Z INFO [95/500] 109f6ebf-60df-4c56-b65b-ed7b1ae0777d: cophenetic index 1134841; 10.7 s; peak memory 288 MiB.
2026-09-24T13:22:23Z INFO [96/500] 10a05d6a-e3dd-4d83-9c8d-513ff44e1b38: cophenetic index 2625; 1.1 s; peak memory 288 MiB.
2026-09-24T13:22:23Z INFO [97/500] 10a18410-dc7f-4cc3-8e48-fb7699fbd0e3: cophenetic index 579; 0.5 s; peak memory 288 MiB.
2026-09-24T13:22:24Z INFO [98/500] 10a24716-dfa1-41d2-b657-181cb25f777a: cophenetic index 624; 0.7 s; peak memory 288 MiB.
2026-09-24T13:22:25Z INFO [99/500] 10a250a8-04d2-4f64-8d29-f89f61880248: cophenetic index 107282; 1.3 s; peak memory 288 MiB.
2026-09-24T13:22:30Z INFO [100/500] 10a2e8e1-dd7f-4899-a3c1-f79984d8c9f7: cophenetic index 33579; 4.7 s; peak memory 288 MiB.
2026-09-24T13:22:30Z INFO [100/500] 10a2e8e1-dd7f-4899-a3c1-f79984d8c9f7: checkpointed 54079 records.
2026-09-24T13:22:42Z INFO [101/500] 10a350fe-5d6d-4e83-8f55-d08890264d09: cophenetic index 133356; 12.2 s; peak memory 288 MiB.
2026-09-24T13:22:51Z INFO [102/500] 10a3610a-dbc1-4ada-9022-184ead82033f: cophenetic index 160236; 8.5 s; peak memory 288 MiB.
2026-09-24T13:22:52Z INFO [103/500] 10a3cc81-a0c2-4951-aec2-b85b407e5d0b: cophenetic index 3004; 1.0 s; peak memory 288 MiB.
2026-09-24T13:22:52Z INFO [104/500] 10a4c048-cf9d-48dd-a979-f584c3349a95: cophenetic index 649; 0.8 s; peak memory 288 MiB.
2026-09-24T13:22:54Z INFO [105/500] 10a50d7b-f975-4177-ab0a-ef3674069c55: cophenetic index 2625; 1.1 s; peak memory 288 MiB.
2026-09-24T13:22:57Z INFO [106/500] 10a52ff8-70db-4b7c-adc4-9cb044581cfc: cophenetic index 81017; 3.9 s; peak memory 288 MiB.
2026-09-24T13:22:58Z INFO [107/500] 10a60ca7-3d04-431c-b4b0-1493adca10ac: cophenetic index 3004; 0.8 s; peak memory 288 MiB.
2026-09-24T13:22:59Z INFO [108/500] 10a6e602-8848-4a4f-9a42-1695ac087f09: cophenetic index 624; 0.6 s; peak memory 288 MiB.
2026-09-24T13:23:00Z INFO [109/500] 10a786bb-b4b1-4589-a498-ff75b1a0de67: cophenetic index 624; 0.6 s; peak memory 288 MiB.
2026-09-24T13:23:38Z INFO [110/500] 10a7b805-db0a-4991-99a4-605881d45b93: cophenetic index 5879857; 38.2 s; peak memory 288 MiB.
2026-09-24T13:23:39Z INFO [111/500] 10a876a6-3d06-4dba-a842-716f43c8f0a6: cophenetic index 2570; 1.5 s; peak memory 288 MiB.
2026-09-24T13:23:40Z INFO [112/500] 10a8a491-0dbf-4018-894f-e1eefdb1f22c: cophenetic index 99120; 1.3 s; peak memory 288 MiB.
2026-09-24T13:23:41Z INFO [113/500] 10a90a62-1f05-4be6-80ce-7b05a90aeb22: cophenetic index 3004; 0.9 s; peak memory 288 MiB.
2026-09-24T13:23:42Z INFO [114/500] 10a924d1-de72-4143-860e-55c76d7d0d82: cophenetic index 2625; 1.0 s; peak memory 288 MiB.
2026-09-24T13:23:43Z INFO [115/500] 10a943a3-cba0-4270-a7a5-04ce1c512012: cophenetic index 2625; 0.7 s; peak memory 288 MiB.
2026-09-24T13:23:44Z INFO [116/500] 10a94972-79a6-4793-990e-1e3a48232458: cophenetic index 3004; 0.7 s; peak memory 288 MiB.
2026-09-24T13:23:44Z INFO [117/500] 10a95db0-86f5-4773-a8df-b80a8991d266: cophenetic index 581; 0.6 s; peak memory 288 MiB.
2026-09-24T13:23:45Z INFO [118/500] 10a99bed-287d-432f-93de-9ec98d925048: cophenetic index 2625; 0.8 s; peak memory 288 MiB.
2026-09-24T13:23:46Z INFO [119/500] 10aa45f0-7b83-4ae5-8f09-33e1974d351f: cophenetic index 42002; 1.2 s; peak memory 288 MiB.
2026-09-24T13:23:47Z INFO [120/500] 10ab8ef3-3e39-4688-8ed8-c75614062898: cophenetic index 2119; 0.6 s; peak memory 288 MiB.
2026-09-24T13:23:48Z INFO [121/500] 10ab9fea-0fad-4c8e-9bb3-8c0690d66fb8: cophenetic index 513; 1.2 s; peak memory 288 MiB.
2026-09-24T13:23:49Z INFO [122/500] 10ac1a40-6918-4eea-b80c-d887bad92ae9: cophenetic index 969; 0.7 s; peak memory 288 MiB.
2026-09-24T13:23:52Z INFO [123/500] 10ac24fa-5825-4aea-9812-b5f3eeada411: cophenetic index 9548; 3.5 s; peak memory 288 MiB.
2026-09-24T13:23:53Z INFO [124/500] 10ac8d87-44d4-4a9c-99f9-6048925f1047: cophenetic index 624; 0.8 s; peak memory 288 MiB.
2026-09-24T13:23:55Z INFO [125/500] 10acb369-9b00-4445-820d-874ff9756c83: cophenetic index 33998; 1.6 s; peak memory 288 MiB.
2026-09-24T13:23:55Z INFO [126/500] 10ad1677-82fd-4be8-9240-dcf4305483c3: cophenetic index 626; 0.6 s; peak memory 288 MiB.
2026-09-24T13:23:56Z INFO [127/500] 10ad37b2-a0a5-4dc6-9fe0-a6f7a50d1e3e: cophenetic index 624; 0.8 s; peak memory 288 MiB.
2026-09-24T13:23:57Z INFO [128/500] 10ad5dc7-ec27-4cce-a60f-c4faa4100509: cophenetic index 3004; 1.0 s; peak memory 288 MiB.
2026-09-24T13:23:58Z INFO [129/500] 10ad84ef-aa40-462c-a687-07f78cb285a7: cophenetic index 33998; 1.1 s; peak memory 288 MiB.
2026-09-24T13:23:59Z INFO [130/500] 10addf21-e956-4991-a805-6a196122da65: cophenetic index 3087; 0.7 s; peak memory 288 MiB.
2026-09-24T13:24:00Z INFO [131/500] 10adf08a-31f4-47f7-b3ff-5147ded50ae8: cophenetic index 581; 0.6 s; peak memory 288 MiB.
2026-09-24T13:24:00Z INFO [132/500] 10aef2ad-6e1e-4ba7-95f2-410cec75f270: cophenetic index 624; 0.5 s; peak memory 288 MiB.
2026-09-24T13:24:00Z INFO [133/500] 10b018b3-cbd6-4c39-8b1f-02545f968f18: cophenetic index 490; 0.3 s; peak memory 288 MiB.
2026-09-24T13:24:01Z INFO [134/500] 10b0a30f-7ca7-49bc-8748-cfe5e1c6b41f: cophenetic index 624; 0.6 s; peak memory 288 MiB.
2026-09-24T13:24:10Z INFO [135/500] 10b1cc33-842b-4278-9a94-581e9ff5cf48: cophenetic index 415372; 8.7 s; peak memory 289 MiB.
2026-09-24T13:24:11Z INFO [136/500] 10b252bd-c35e-4404-9299-7e8f908d2701: cophenetic index 2625; 0.9 s; peak memory 289 MiB.
2026-09-24T13:24:11Z INFO [137/500] 10b260b0-f641-485c-8c85-d0a453c41511: cophenetic index 490; 0.7 s; peak memory 289 MiB.
2026-09-24T13:24:12Z INFO [138/500] 10b46a95-6809-4a74-8ac5-c76422b8ed35: cophenetic index 37616; 1.0 s; peak memory 289 MiB.
2026-09-24T13:24:13Z INFO [139/500] 10b55d33-e928-4cee-bad2-87297214a656: cophenetic index 3004; 0.8 s; peak memory 289 MiB.
2026-09-24T13:24:14Z INFO [140/500] 10b57a8c-21b0-4db6-b29a-fc37059fa6ff: cophenetic index 2814; 0.7 s; peak memory 289 MiB.
2026-09-24T13:24:19Z INFO [141/500] 10b68a32-6a7d-49a6-97cd-db75be278318: cophenetic index 123569; 4.5 s; peak memory 289 MiB.
2026-09-24T13:24:19Z INFO [142/500] 10b76568-d37f-487e-bedf-9ffec6fb5826: cophenetic index 490; 0.4 s; peak memory 289 MiB.
2026-09-24T13:24:20Z INFO [143/500] 10b7a74f-8377-459d-8373-5c1865a13086: cophenetic index 3057; 0.7 s; peak memory 289 MiB.
2026-09-24T13:24:20Z INFO [144/500] 10b7da6c-f107-47be-96a0-762428173316: cophenetic index 3087; 0.7 s; peak memory 289 MiB.
2026-09-24T13:24:21Z INFO [145/500] 10b80e1c-2bd7-4461-8bb4-6076df6db724: cophenetic index 1614; 0.9 s; peak memory 289 MiB.
2026-09-24T13:24:22Z INFO [146/500] 10b89f37-59e3-4373-b7a5-1f720e92552b: cophenetic index 3087; 0.8 s; peak memory 289 MiB.
2026-09-24T13:24:23Z INFO [147/500] 10b8a17d-affb-409c-b982-b31c227a0ce1: cophenetic index 624; 0.7 s; peak memory 289 MiB.
2026-09-24T13:24:23Z INFO [148/500] 10b94771-8302-4c5a-8e5a-103d23b6885b: cophenetic index 33986; 0.8 s; peak memory 289 MiB.
2026-09-24T13:24:24Z INFO [149/500] 10b9dfdd-3534-4acd-aab0-91ddb6d4e8e7: cophenetic index 624; 0.9 s; peak memory 289 MiB.
2026-09-24T13:24:25Z INFO [150/500] 10bac657-1a4e-4311-9927-de5270d3f488: cophenetic index 23809; 0.7 s; peak memory 289 MiB.
