2026-09-23T13:24:58Z INFO Logging to /tmp/logs/update_2026-09-23T13-24-58Z.log.
2026-09-23T13:24:58Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-23T13:24:58Z INFO Processing 500 items (52992 already recorded).
2026-09-23T13:24:59Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-23T13:27:24Z INFO [109/500] 0ea4b6ec-278e-465e-996c-2b47f17fb0ea: cophenetic index 3004; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:25Z INFO [110/500] 0ea4e5f6-0818-427e-874a-983f2072e439: cophenetic index 2625; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:26Z INFO [111/500] 0ea55698-709d-4e7e-8906-3e23e100f15e: cophenetic index 441; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:28Z INFO [112/500] 0ea5aabf-64c4-41ff-a225-6a9f83cd1a05: cophenetic index 29421; 1.8 s; peak memory 171 MiB.
2026-09-23T13:27:29Z INFO [113/500] 0ea7783f-d320-4de9-be3d-fb32ddc2df8a: cophenetic index 5473; 1.8 s; peak memory 171 MiB.
2026-09-23T13:27:34Z INFO [114/500] 0ea7d236-4eab-44e8-b71c-92847b79ab95: cophenetic index 98148; 4.4 s; peak memory 171 MiB.
2026-09-23T13:27:34Z INFO [115/500] 0ea8051b-8289-432e-a7a6-aabb0b924d75: cophenetic index 725; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:35Z INFO [116/500] 0ea86cde-147b-4f08-9f38-4e3fbfc91dc8: cophenetic index 539; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:36Z INFO [117/500] 0ea87d4b-3698-4f4b-91b1-5ca57ddb6def: cophenetic index 3004; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:36Z INFO [118/500] 0ea90d79-f057-43ac-a965-cc3639a94e78: cophenetic index 624; 0.5 s; peak memory 171 MiB.
2026-09-23T13:27:37Z INFO [119/500] 0ea9e2da-ace7-4db6-8ac6-128fd6847cc2: cophenetic index 3004; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:37Z INFO [120/500] 0ea9fbf7-718f-4161-afe3-760f3267a11d: cophenetic index 641; 0.3 s; peak memory 171 MiB.
2026-09-23T13:27:38Z INFO [121/500] 0eaa5845-1e11-4790-90bd-646ba2fe63be: cophenetic index 624; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:39Z INFO [122/500] 0eaa8492-7f73-464a-84bd-7096b3468901: cophenetic index 2391; 1.6 s; peak memory 171 MiB.
2026-09-23T13:27:40Z INFO [123/500] 0eaab93a-e0d2-4064-b61b-51c0babaa084: cophenetic index 2625; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:40Z INFO [124/500] 0eab154f-d994-4297-a7c5-42547e601ed5: cophenetic index 490; 0.3 s; peak memory 171 MiB.
2026-09-23T13:27:41Z INFO [125/500] 0eabc4dd-5ec4-4118-b2fa-14f5254ad173: cophenetic index 2625; 0.9 s; peak memory 171 MiB.
2026-09-23T13:27:42Z INFO [126/500] 0eabd9e4-101c-4d63-9fe6-c5f7d0a0c14a: cophenetic index 3004; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:43Z INFO [127/500] 0ead0c9b-adbe-4a5f-9cd7-eeb78c2cba78: cophenetic index 624; 0.4 s; peak memory 171 MiB.
2026-09-23T13:27:43Z INFO [128/500] 0ead5b56-8853-4dd7-a45b-78af9ceb3b0d: cophenetic index 466; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:46Z INFO [129/500] 0eadd890-a4c4-4dae-9da4-69c77757d6cc: cophenetic index 6412; 2.5 s; peak memory 171 MiB.
2026-09-23T13:27:47Z INFO [130/500] 0eaddbf6-bcbc-40a0-ae8a-8b1cf5bedca4: cophenetic index 33986; 1.0 s; peak memory 171 MiB.
2026-09-23T13:27:54Z INFO [131/500] 0eadf4f0-e2c4-4581-b485-9f14497772d8: cophenetic index 224795; 6.9 s; peak memory 171 MiB.
2026-09-23T13:27:54Z INFO [132/500] 0eae547e-c4d7-4a99-ac73-1131fe2a050c: cophenetic index 26986; 0.8 s; peak memory 171 MiB.
2026-09-23T13:27:55Z INFO [133/500] 0eaec9b5-ff63-45ec-8e13-f27dfb5ac499: cophenetic index 937; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:56Z INFO [134/500] 0eaecb42-08d4-4090-9042-b0d0dd334f62: cophenetic index 3004; 0.7 s; peak memory 171 MiB.
2026-09-23T13:27:56Z INFO [135/500] 0eafd088-6dfc-4bb7-9f46-9f8d513c6b58: cophenetic index 624; 0.6 s; peak memory 171 MiB.
2026-09-23T13:27:57Z INFO [136/500] 0eb01ecb-af82-4584-9e8f-8288bf7298ec: cophenetic index 446; 0.3 s; peak memory 171 MiB.
2026-09-23T13:28:00Z INFO [137/500] 0eb0eaa0-f59d-43cd-b68f-28d8c5243156: cophenetic index 6218; 3.2 s; peak memory 171 MiB.
2026-09-23T13:28:00Z INFO [138/500] 0eb1458c-7ad5-4a36-9ed8-91bdc8082b8d: cophenetic index 3087; 0.5 s; peak memory 171 MiB.
2026-09-23T13:28:05Z INFO [139/500] 0eb18653-39f8-406b-8f6d-8ec6580fc07f: cophenetic index 174343; 4.8 s; peak memory 171 MiB.
2026-09-23T13:28:06Z INFO [140/500] 0eb1f277-7f92-426c-bc0d-0630c7ef6ca6: cophenetic index 490; 0.4 s; peak memory 171 MiB.
2026-09-23T13:28:07Z INFO [141/500] 0eb3cba0-acd6-46da-8f0a-a51406ceab54: cophenetic index 42002; 1.2 s; peak memory 171 MiB.
2026-09-23T13:28:13Z INFO [142/500] 0eb3e2ce-3209-4e9f-9edd-704b4686343b: cophenetic index 354928; 5.9 s; peak memory 171 MiB.
2026-09-23T13:28:13Z INFO [143/500] 0eb4114f-7834-4954-83f3-aa9dc81e337c: cophenetic index 627; 0.4 s; peak memory 171 MiB.
2026-09-23T13:28:17Z INFO [144/500] 0eb4c2f6-9e57-4087-bd7d-be088c174197: cophenetic index 195172561; 4.4 s; peak memory 199 MiB.
2026-09-23T13:28:20Z INFO [145/500] 0eb4dcd0-8234-4c41-8f4f-0df0d477d47b: cophenetic index 9548; 3.0 s; peak memory 199 MiB.
2026-09-23T13:28:22Z INFO [146/500] 0eb58195-7daa-4202-ae1d-8704f9798152: cophenetic index 2402; 1.3 s; peak memory 199 MiB.
2026-09-23T13:28:22Z INFO [147/500] 0eb5eac0-6d29-48e1-aab3-caa9fdef70d7: cophenetic index 431; 0.6 s; peak memory 199 MiB.
2026-09-23T13:28:23Z INFO [148/500] 0eb6030d-0676-47a4-8b7f-a1f755161ef5: cophenetic index 2625; 0.9 s; peak memory 199 MiB.
2026-09-23T13:28:24Z INFO [149/500] 0eb66409-f1ab-4f1d-ac13-c0bd3443281f: cophenetic index 646; 0.4 s; peak memory 199 MiB.
2026-09-23T13:28:24Z INFO [150/500] 0eb7f93d-089b-4bac-ac2f-e0dbdf77a5f5: cophenetic index 2724; 0.6 s; peak memory 199 MiB.
2026-09-23T13:28:24Z INFO [150/500] 0eb7f93d-089b-4bac-ac2f-e0dbdf77a5f5: checkpointed 53139 records.
2026-09-23T13:28:25Z INFO [151/500] 0eb8a9db-af15-42fa-a3e3-c98591db3d2e: cophenetic index 690; 0.5 s; peak memory 199 MiB.
2026-09-23T13:28:25Z INFO [152/500] 0eb9395b-cd3b-45df-8da9-c1ff2d65efdd: cophenetic index 490; 0.3 s; peak memory 199 MiB.
2026-09-23T13:28:26Z INFO [153/500] 0eb96b51-a93c-482e-8ce4-6425b523be91: cophenetic index 2974; 0.5 s; peak memory 199 MiB.
2026-09-23T13:28:26Z INFO [154/500] 0eb985ea-7424-4d35-9cf6-9124de7bbbca: cophenetic index 3004; 0.6 s; peak memory 199 MiB.
2026-09-23T13:28:27Z INFO [155/500] 0eb99b9e-c6df-4586-8d8f-7755aba93967: cophenetic index 2496; 0.6 s; peak memory 199 MiB.
2026-09-23T13:28:32Z INFO [156/500] 0eb9ed5c-3b87-424f-a7de-dcac8985e4fc: cophenetic index 422949; 5.2 s; peak memory 209 MiB.
2026-09-23T13:28:33Z INFO [157/500] 0eba0a56-3e5c-4277-9cff-cf6dc8c27722: cophenetic index 560; 0.5 s; peak memory 209 MiB.
2026-09-23T13:28:33Z INFO [158/500] 0eba222f-b1fe-4389-bfd5-174d93bda5e5: cophenetic index 2625; 0.6 s; peak memory 209 MiB.
2026-09-23T13:28:35Z INFO [159/500] 0ebb0310-f887-4d3e-8135-2e5556b65e15: cophenetic index 33998; 1.2 s; peak memory 209 MiB.
2026-09-23T13:28:35Z INFO [160/500] 0ebbfded-3e85-487c-9834-bedc4ee8b82b: cophenetic index 494; 0.5 s; peak memory 209 MiB.
2026-09-23T13:28:37Z INFO [161/500] 0ebcaea6-acc8-4ab9-a1bc-6341a38fe59d: cophenetic index 5473; 1.9 s; peak memory 209 MiB.
