2026-09-21T23:03:12Z INFO Logging to /tmp/logs/update_2026-09-21T23-03-12Z.log.
2026-09-21T23:03:12Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T23:03:12Z INFO Processing 500 items (51499 already recorded).
2026-09-21T23:03:13Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:13Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T23:03:14Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T23:03:14Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T23:05:47Z INFO [125/500] 0b964b35-dbf7-4dc1-8edb-3cfa7e20a4ef: cophenetic index 624; 0.5 s; peak memory 180 MiB.
2026-09-21T23:06:07Z INFO [126/500] 0b9783fc-5bef-4281-a37e-f59afadfb074: cophenetic index 25746476; 19.8 s; peak memory 207 MiB.
2026-09-21T23:06:08Z INFO [127/500] 0b98682f-5d50-43de-ad6a-7351858a867e: cophenetic index 2625; 0.8 s; peak memory 207 MiB.
2026-09-21T23:06:08Z INFO [128/500] 0b98cfe5-0a4c-429b-b9b3-e49cc58ba18b: cophenetic index 1993; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:12Z INFO [129/500] 0b98d36a-8182-4809-ae7d-841332b08161: cophenetic index 6715; 3.8 s; peak memory 207 MiB.
2026-09-21T23:06:13Z INFO [130/500] 0b9a0062-8919-423a-ae32-8b54a772f03a: cophenetic index 2654; 0.8 s; peak memory 207 MiB.
2026-09-21T23:06:14Z INFO [131/500] 0b9a214b-a75a-4839-83ac-e57a1f7633e1: cophenetic index 809; 1.2 s; peak memory 207 MiB.
2026-09-21T23:06:15Z INFO [132/500] 0b9a2873-9c81-4705-bfe9-d58a920e5fa5: cophenetic index 33962; 0.7 s; peak memory 207 MiB.
2026-09-21T23:06:15Z INFO [133/500] 0b9a42b0-f774-4967-9c96-347d3c81dd33: cophenetic index 649; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:19Z INFO [134/500] 0b9a8224-d822-4a86-b2a8-dd6545fe9de4: cophenetic index 14371; 3.8 s; peak memory 207 MiB.
2026-09-21T23:06:20Z INFO [135/500] 0b9b1aa6-65ce-4227-906e-dcd131517da4: cophenetic index 3004; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:20Z INFO [136/500] 0b9b1d2d-cc9a-4fa3-9950-50eeef64c8d2: cophenetic index 2625; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:22Z INFO [137/500] 0b9b6fd9-930b-49bc-89da-a1c8c0e90e92: cophenetic index 6309; 1.9 s; peak memory 207 MiB.
2026-09-21T23:06:24Z INFO [138/500] 0b9bafd1-eeca-4ca6-b5c9-a2d11892fd97: cophenetic index 1458; 1.2 s; peak memory 207 MiB.
2026-09-21T23:06:24Z INFO [139/500] 0b9c1e3b-e914-4f5e-9177-82650ab5ac86: cophenetic index 624; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:24Z INFO [140/500] 0b9d056c-2b47-4acc-88f3-dd59eb8a0938: cophenetic index 624; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:25Z INFO [141/500] 0b9d1bb0-3762-4352-8f4a-ef181bf42330: cophenetic index 2570; 0.9 s; peak memory 207 MiB.
2026-09-21T23:06:26Z INFO [142/500] 0b9d437f-7ade-4b08-a7a4-be53e34cce98: cophenetic index 624; 0.6 s; peak memory 207 MiB.
2026-09-21T23:06:26Z INFO [143/500] 0b9e8768-8bf1-4ad2-a440-63daad7ee8cf: cophenetic index 3004; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:30Z INFO [144/500] 0b9f0de0-1cfc-49a0-a2c8-2466a77e72ba: cophenetic index 140786; 3.6 s; peak memory 207 MiB.
2026-09-21T23:06:31Z INFO [145/500] 0b9fbf85-3bca-4d0c-9c87-1ba79cb84700: cophenetic index 2844; 0.5 s; peak memory 207 MiB.
2026-09-21T23:06:31Z INFO [146/500] 0ba068d9-617b-40e0-8f7f-64ad446c04d3: cophenetic index 3004; 0.6 s; peak memory 207 MiB.
2026-09-21T23:06:33Z INFO [147/500] 0ba06b47-23cf-4237-9318-69526489e139: cophenetic index 5473; 1.5 s; peak memory 207 MiB.
