2026-09-21T14:54:18Z INFO Logging to /tmp/logs/update_2026-09-21T14-54-18Z.log.
2026-09-21T14:54:18Z INFO Update valid-nwb-file-to-cophenetic-index (base directory /tmp).
2026-09-21T14:54:18Z INFO Processing 500 items (51001 already recorded).
2026-09-21T14:54:19Z WARNING 024ef50f-ac6f-49ea-806b-93ef4b5e8644: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:19Z WARNING [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: leaving unrecorded for a later run to retry.
2026-09-21T14:54:20Z WARNING 09073220-fbea-45d2-9a39-2cc61fcdc2a1: failed while reading the NWB file (KeyError: 'Unable to synchronously open object (component not found)')
2026-09-21T14:54:20Z WARNING [2/500] 09073220-fbea-45d2-9a39-2cc61fcdc2a1: leaving unrecorded for a later run to retry.
2026-09-21T14:56:00Z INFO [84/500] 0a6cb1fa-cd25-4cc1-aad8-b36f26b753d8: cophenetic index 2402; 1.4 s; peak memory 258 MiB.
2026-09-21T14:56:03Z INFO [85/500] 0a6dc924-6791-4eb4-9c0b-5a55b2d3bb8f: cophenetic index 9548; 3.0 s; peak memory 258 MiB.
2026-09-21T14:56:04Z INFO [86/500] 0a6e7802-7c7a-46bc-a4d0-adf6aa50cd40: cophenetic index 3004; 0.8 s; peak memory 258 MiB.
2026-09-21T14:56:05Z INFO [87/500] 0a6e7fb8-f07f-4ddb-8f36-58da19541841: cophenetic index 3004; 0.5 s; peak memory 258 MiB.
2026-09-21T14:56:05Z INFO [88/500] 0a6eca22-2c9d-4e04-8b6b-fd0187bd31f2: cophenetic index 590; 0.5 s; peak memory 258 MiB.
2026-09-21T14:56:06Z INFO [89/500] 0a6fd2fe-870a-4981-a036-4bb50610ca29: cophenetic index 3045; 1.2 s; peak memory 258 MiB.
2026-09-21T14:56:07Z INFO [90/500] 0a6fef21-add6-46bc-adc7-07e2fa2f8f37: cophenetic index 1544; 0.7 s; peak memory 258 MiB.
2026-09-21T14:56:12Z INFO [91/500] 0a701d7b-48e0-4ae6-b506-38523d282d24: cophenetic index 155097; 4.8 s; peak memory 261 MiB.
2026-09-21T14:56:13Z INFO [92/500] 0a713043-cb10-4ef6-a41d-43b404ca52a5: cophenetic index 624; 0.6 s; peak memory 261 MiB.
2026-09-21T14:56:26Z INFO [93/500] 0a729527-5239-451a-9e9f-d8b864304050: cophenetic index 313693; 13.9 s; peak memory 272 MiB.
2026-09-21T14:56:27Z INFO [94/500] 0a736741-c67e-41d0-b17b-890e7aab1c0d: cophenetic index 3004; 0.7 s; peak memory 272 MiB.
2026-09-21T14:56:28Z INFO [95/500] 0a7490ea-a982-4364-92db-7976e55f9061: cophenetic index 33977; 0.6 s; peak memory 272 MiB.
2026-09-21T14:56:29Z INFO [96/500] 0a74d166-83a6-4307-9005-392d60435e1b: cophenetic index 107822; 1.3 s; peak memory 272 MiB.
